"Date","AveragePrice","TotalVolume","TotalRevenue","TotRevSmallHass","TotRevLargeHass","TotRevXLHass","SmallHass","LargeHass","XLHass","TotalBags","SmallBags","LargeBags","XLBags","Type","Year","Region","CityUsed","State","Country","Latitude","Longitude"
"2015-10-18",1.12,84843.44,95024.6528,1035.8432,84667.352,131.1184,924.86,75595.85,117.07,8205.66,7877.86,327.8,0,"conventional",2015,"Albany","Albany","NY","USA",42.65258,-73.756233
"2015-10-11",1.28,64489.17,82546.1376,2024.9984,67427.7376,134.8096,1582.03,52677.92,105.32,10123.9,9866.27,257.63,0,"conventional",2015,"Albany","Albany","NY","USA",42.65258,-73.756233
"2015-10-04",1.31,61007.1,79919.301,2971.4992,65343.6777,132.7816,2268.32,49880.67,101.36,8756.75,8379.98,376.77,0,"conventional",2015,"Albany","Albany","NY","USA",42.65258,-73.756233
"2015-09-27",0.99,106803.39,105735.3561,1192.8312,98415.1179,153.2916,1204.88,99409.21,154.84,6034.46,5888.87,145.59,0,"conventional",2015,"Albany","Albany","NY","USA",42.65258,-73.756233
"2015-09-20",1.33,69759.01,92779.4833,1367.2799,78886.4496,200.165,1028.03,59313.12,150.5,9267.36,8489.1,778.26,0,"conventional",2015,"Albany","Albany","NY","USA",42.65258,-73.756233
"2015-09-13",1.28,76111.27,97422.4256,1261.7344,84091.9808,181.76,985.73,65696.86,142,9286.68,8665.19,621.49,0,"conventional",2015,"Albany","Albany","NY","USA",42.65258,-73.756233
"2015-09-06",1.11,99172.96,110081.9856,976.1895,99969.5082,267.2769,879.45,90062.62,240.79,7990.1,7762.87,227.23,0,"conventional",2015,"Albany","Albany","NY","USA",42.65258,-73.756233
"2015-08-30",1.07,105693.84,113092.4088,737.2407,100968.0569,358.9101,689.01,94362.67,335.43,10306.73,10218.93,87.8,0,"conventional",2015,"Albany","Albany","NY","USA",42.65258,-73.756233
"2015-08-23",1.34,79992.09,107189.4006,982.4344,91031.2786,596.0052,733.16,67933.79,444.78,10880.36,10745.79,134.57,0,"conventional",2015,"Albany","Albany","NY","USA",42.65258,-73.756233
"2015-08-16",1.33,80043.78,106458.2274,717.7345,91325.7933,525.217,539.65,68666.01,394.9,10443.22,10297.68,145.54,0,"conventional",2015,"Albany","Albany","NY","USA",42.65258,-73.756233
"2015-08-09",1.12,111140.93,124477.8416,654.7856,113076.8352,413.224,584.63,100961.46,368.95,9225.89,9116.34,109.55,0,"conventional",2015,"Albany","Albany","NY","USA",42.65258,-73.756233
"2015-08-02",1.45,75133.1,108942.995,739.413,89950.837,1074.566,509.94,62035.06,741.08,11847.02,11768.52,78.5,0,"conventional",2015,"Albany","Albany","NY","USA",42.65258,-73.756233
"2015-07-26",1.11,106757.1,118500.381,720.1125,102063.4455,1072.9371,648.75,91949.05,966.61,13192.69,13061.53,131.16,0,"conventional",2015,"Albany","Albany","NY","USA",42.65258,-73.756233
"2015-07-19",1.26,96617,121737.42,1313.046,103382.244,2819.9052,1042.1,82049.4,2238.02,11287.48,11103.49,183.99,0,"conventional",2015,"Albany","Albany","NY","USA",42.65258,-73.756233
"2015-07-12",1.05,124055.31,130258.0755,705.8625,99428.196,4470.522,672.25,94693.52,4257.64,24431.9,24290.08,108.49,33.33,"conventional",2015,"Albany","Albany","NY","USA",42.65258,-73.756233
"2015-07-05",1.35,109252.12,147490.362,1173.7575,98010.7425,7942.266,869.45,72600.55,5883.16,29898.96,29663.19,235.77,0,"conventional",2015,"Albany","Albany","NY","USA",42.65258,-73.756233
"2015-06-28",1.37,89534.81,122662.6897,909.9951,78837.7323,6387.9127,664.23,57545.79,4662.71,26662.08,26311.76,350.32,0,"conventional",2015,"Albany","Albany","NY","USA",42.65258,-73.756233
"2015-06-21",1.27,104849.39,133158.7253,1021.0927,97394.4585,6961.0986,804.01,76688.55,5481.18,21875.65,21662,213.65,0,"conventional",2015,"Albany","Albany","NY","USA",42.65258,-73.756233
"2015-06-14",1.32,89631.3,118313.316,1122.7656,73129.2408,5777.8908,850.58,55400.94,4377.19,29002.59,28343.14,659.45,0,"conventional",2015,"Albany","Albany","NY","USA",42.65258,-73.756233
"2015-06-07",1.07,122743.06,131335.0742,702.6797,106166.2774,96.6424,656.71,99220.82,90.32,22775.21,22314.99,460.22,0,"conventional",2015,"Albany","Albany","NY","USA",42.65258,-73.756233
"2015-05-31",1.23,95123.62,117002.0526,1134.5151,86677.7187,62.1765,922.37,70469.69,50.55,23681.01,23222.49,458.52,0,"conventional",2015,"Albany","Albany","NY","USA",42.65258,-73.756233
"2015-05-24",1.19,101470.91,120750.3829,809.5213,84938.4039,69.853,680.27,71376.81,58.7,29355.13,28761.81,593.32,0,"conventional",2015,"Albany","Albany","NY","USA",42.65258,-73.756233
"2015-05-17",1.43,109857.47,157096.1821,1645.2865,117195.8788,134.8776,1150.55,81955.16,94.32,26657.44,26285.43,372.01,0,"conventional",2015,"Albany","Albany","NY","USA",42.65258,-73.756233
"2015-05-10",1.26,120427.91,151739.1666,1789.7418,128520.6552,233.9316,1420.43,102000.52,185.66,16821.3,16535.55,285.75,0,"conventional",2015,"Albany","Albany","NY","USA",42.65258,-73.756233
"2015-05-03",1.2,59197.67,71037.204,1103.844,54588.06,260.688,919.87,45490.05,217.24,12570.51,12201.95,368.56,0,"conventional",2015,"Albany","Albany","NY","USA",42.65258,-73.756233
"2015-04-26",1.22,49585.46,60494.2612,1068.293,43726.935,109.3364,875.65,35841.75,89.62,12778.44,12076.83,701.61,0,"conventional",2015,"Albany","Albany","NY","USA",42.65258,-73.756233
"2015-04-19",1.19,49064.73,58387.0287,921.2385,40390.3969,56.1085,774.15,33941.51,47.15,14301.92,13602.97,698.95,0,"conventional",2015,"Albany","Albany","NY","USA",42.65258,-73.756233
"2015-04-12",1.13,48364.29,54651.6477,976.6251,34322.7895,24.295,864.27,30374.15,21.5,17104.37,16438.49,665.88,0,"conventional",2015,"Albany","Albany","NY","USA",42.65258,-73.756233
"2015-04-05",1.16,47362.13,54940.0708,1115.6532,41270.0856,108.7616,961.77,35577.66,93.76,10728.94,9869.16,755.61,104.17,"conventional",2015,"Albany","Albany","NY","USA",42.65258,-73.756233
"2015-03-29",1.02,67799.08,69155.0616,1430.3256,59795.6844,91.29,1402.28,58623.22,89.5,7684.08,7208.49,475.59,0,"conventional",2015,"Albany","Albany","NY","USA",42.65258,-73.756233
"2015-03-22",1.12,46346.85,51908.472,2398.8496,38431.1872,158.816,2141.83,34313.56,141.8,9749.66,9252.6,497.06,0,"conventional",2015,"Albany","Albany","NY","USA",42.65258,-73.756233
"2015-03-15",1.11,43045.79,47780.8269,2362.3686,33796.3587,110.6337,2128.26,30447.17,99.67,10370.69,9989.59,381.1,0,"conventional",2015,"Albany","Albany","NY","USA",42.65258,-73.756233
"2015-03-08",1.07,40507.36,43342.8752,851.3776,32496.5848,170.1835,795.68,30370.64,159.05,9181.99,8827.55,354.44,0,"conventional",2015,"Albany","Albany","NY","USA",42.65258,-73.756233
"2015-03-01",0.99,55595.74,55039.7826,623.1654,45177.0066,179.6751,629.46,45633.34,181.49,9151.45,8986.06,165.39,0,"conventional",2015,"Albany","Albany","NY","USA",42.65258,-73.756233
"2015-02-22",1.07,45675.05,48872.3035,1164.5666,37510.0591,161.57,1088.38,35056.13,151,9379.54,9000.16,379.38,0,"conventional",2015,"Albany","Albany","NY","USA",42.65258,-73.756233
"2015-02-15",1.06,41567.62,44061.6772,1045.8596,31848.2406,235.7652,986.66,30045.51,222.42,10313.03,9979.87,333.16,0,"conventional",2015,"Albany","Albany","NY","USA",42.65258,-73.756233
"2015-02-08",0.99,51253.97,50741.4303,1343.7963,38720.6919,161.6175,1357.37,39111.81,163.25,10621.54,10113.1,508.44,0,"conventional",2015,"Albany","Albany","NY","USA",42.65258,-73.756233
"2015-02-01",0.99,70873.6,70164.864,1340.361,59417.028,177.5268,1353.9,60017.2,179.32,9323.18,9170.82,152.36,0,"conventional",2015,"Albany","Albany","NY","USA",42.65258,-73.756233
"2015-01-25",1.06,45147.5,47856.35,997.8628,35187.9296,173.9884,941.38,33196.16,164.14,10845.82,10103.35,742.47,0,"conventional",2015,"Albany","Albany","NY","USA",42.65258,-73.756233
"2015-01-18",1.17,44511.28,52078.1976,1069.5438,36902.1744,158.8509,914.14,31540.32,135.77,11921.05,11651.09,269.96,0,"conventional",2015,"Albany","Albany","NY","USA",42.65258,-73.756233
"2015-01-11",1.24,41195.08,51081.8992,1243.534,39234.0216,157.6288,1002.85,31640.34,127.12,8424.77,8036.04,388.73,0,"conventional",2015,"Albany","Albany","NY","USA",42.65258,-73.756233
"2015-01-04",1.22,40873.28,49865.4016,3439.79,34510.6524,60.878,2819.5,28287.42,49.9,9716.46,9186.93,529.53,0,"conventional",2015,"Albany","Albany","NY","USA",42.65258,-73.756233
"2015-12-27",0.99,386100.49,382239.4851,289176.3864,27077.4108,294.921,292097.36,27350.92,297.9,66354.31,48605.95,17748.36,0,"conventional",2015,"Atlanta","Atlanta","GA","USA",33.748997,-84.387985
"2015-12-20",1.08,331377.53,357887.7324,271916.082,22358.646,111.3048,251774.15,20702.45,103.06,58797.87,46930.26,11867.61,0,"conventional",2015,"Atlanta","Atlanta","GA","USA",33.748997,-84.387985
"2015-12-13",0.96,417772.47,401061.5712,311934.9888,29778.3168,264.768,324932.28,31019.08,275.8,61545.31,38903.57,22628.21,13.53,"conventional",2015,"Atlanta","Atlanta","GA","USA",33.748997,-84.387985
"2015-12-06",1.07,357636.82,382671.3974,302835.6907,25402.7095,194.6544,283024.01,23740.85,181.92,50690.04,37032.67,13654.66,2.71,"conventional",2015,"Atlanta","Atlanta","GA","USA",33.748997,-84.387985
"2015-11-29",0.99,333280.79,329947.9821,247785.7635,28600.7337,304.7517,250288.65,28889.63,307.83,53794.68,33031.72,20738.55,24.41,"conventional",2015,"Atlanta","Atlanta","GA","USA",33.748997,-84.387985
"2015-11-22",1,356414.57,356414.57,269799.03,29732.3,501.16,269799.03,29732.3,501.16,56382.08,36992.3,19389.78,0,"conventional",2015,"Atlanta","Atlanta","GA","USA",33.748997,-84.387985
"2015-11-15",1.13,339860.68,384042.5684,298224.8314,32139.9685,515.2461,263915.78,28442.45,455.97,47046.48,33656.42,13390.06,0,"conventional",2015,"Atlanta","Atlanta","GA","USA",33.748997,-84.387985
"2015-11-08",1.12,334041.6,374126.592,280494.3456,38621.3296,546.8288,250441.38,34483.33,488.24,48628.65,35662.93,12941.12,24.6,"conventional",2015,"Atlanta","Atlanta","GA","USA",33.748997,-84.387985
"2015-11-01",0.99,419088.74,414897.8526,287552.925,62350.2693,250.2621,290457.5,62980.07,252.79,65398.38,39460.77,25929.39,8.22,"conventional",2015,"Atlanta","Atlanta","GA","USA",33.748997,-84.387985
"2015-10-25",1.09,358478.08,390741.1072,258127.5761,70422.6873,331.7524,236814.29,64607.97,304.36,56751.46,31826.88,24924.58,0,"conventional",2015,"Atlanta","Atlanta","GA","USA",33.748997,-84.387985
"2015-10-18",1.09,349072.48,380489.0032,249294.2052,65107.6511,317.4298,228710.28,59731.79,291.22,60339.19,36884.35,23454.84,0,"conventional",2015,"Atlanta","Atlanta","GA","USA",33.748997,-84.387985
"2015-10-11",0.95,433874.46,412180.737,243136.654,86494.954,569.7245,255933.32,91047.32,599.71,86294.11,41159.96,45134.15,0,"conventional",2015,"Atlanta","Atlanta","GA","USA",33.748997,-84.387985
"2015-10-04",0.96,418682.26,401934.9696,255165.2064,89069.1168,618.6528,265797.09,92780.33,644.43,59460.41,14875.64,44584.77,0,"conventional",2015,"Atlanta","Atlanta","GA","USA",33.748997,-84.387985
"2015-09-27",1.07,370321.17,396243.6519,280454.9608,66201.5741,728.456,262107.44,61870.63,680.8,45662.3,20533.87,25125.65,2.78,"conventional",2015,"Atlanta","Atlanta","GA","USA",33.748997,-84.387985
"2015-09-20",0.93,516432.6,480282.318,321890.2143,76969.3296,1254.9513,346118.51,82762.72,1349.41,86201.96,33698.43,52442.25,61.28,"conventional",2015,"Atlanta","Atlanta","GA","USA",33.748997,-84.387985
"2015-09-13",1.07,417232.18,446438.4326,297511.6382,66859.9879,764.9751,278048.26,62485.97,714.93,75983.02,46290.32,29678.76,13.94,"conventional",2015,"Atlanta","Atlanta","GA","USA",33.748997,-84.387985
"2015-09-06",0.97,472136.53,457972.4341,294019.8428,71465.5745,883.9125,303113.24,73675.85,911.25,94436.19,49833.55,44549.67,52.97,"conventional",2015,"Atlanta","Atlanta","GA","USA",33.748997,-84.387985
"2015-08-30",1.15,382972.72,440418.628,317191.0105,51564.988,1189.2035,275818.27,44839.12,1034.09,61281.24,47138.07,14112.5,30.67,"conventional",2015,"Atlanta","Atlanta","GA","USA",33.748997,-84.387985
"2015-08-23",1.12,379054.29,424540.8048,307397.9104,51770.5328,1064.1008,274462.42,46223.69,950.09,57418.09,45534.11,11883.98,0,"conventional",2015,"Atlanta","Atlanta","GA","USA",33.748997,-84.387985
"2015-08-16",1.09,465213.81,507083.0529,395211.6659,45771.7596,1553.2064,362579.51,41992.44,1424.96,59216.9,45068.25,14148.65,0,"conventional",2015,"Atlanta","Atlanta","GA","USA",33.748997,-84.387985
"2015-08-09",1.01,503791.72,508829.6372,388877.9871,47510.4707,4294.2574,385027.71,47040.07,4251.74,67472.2,45820.45,21568.48,83.27,"conventional",2015,"Atlanta","Atlanta","GA","USA",33.748997,-84.387985
"2015-08-02",1.15,405898.44,466783.206,352576.039,48192.797,4042.802,306587.86,41906.78,3515.48,53888.32,42126.47,11720.3,41.55,"conventional",2015,"Atlanta","Atlanta","GA","USA",33.748997,-84.387985
"2015-07-26",1.08,437377.75,472367.97,362201.7816,47614.0356,764.64,335372.02,44087.07,708,57210.66,45114.22,12096.44,0,"conventional",2015,"Atlanta","Atlanta","GA","USA",33.748997,-84.387985
"2015-07-19",0.97,557212.99,540496.6003,432717.1649,46403.2674,1922.5691,446100.17,47838.42,1982.03,61292.37,45099.87,16192.5,0,"conventional",2015,"Atlanta","Atlanta","GA","USA",33.748997,-84.387985
"2015-07-12",1.14,407204.88,464213.5632,353491.5762,43266.6936,988.9044,310080.33,37953.24,867.46,58303.85,46023.59,12280.26,0,"conventional",2015,"Atlanta","Atlanta","GA","USA",33.748997,-84.387985
"2015-07-05",1.01,562462.33,568086.9533,440741.6891,55222.1338,857.0355,436377.91,54675.38,848.55,70560.49,50684.74,19851,24.75,"conventional",2015,"Atlanta","Atlanta","GA","USA",33.748997,-84.387985
"2015-06-28",1.13,435210.71,491788.1023,374429.3759,42599.3389,922.7128,331353.43,37698.53,816.56,65342.19,52099.76,13108.03,134.4,"conventional",2015,"Atlanta","Atlanta","GA","USA",33.748997,-84.387985
"2015-06-21",0.99,554763.76,549216.1224,444818.3553,29929.4622,671.616,449311.47,30231.78,678.4,74542.11,55484.76,19010.81,46.54,"conventional",2015,"Atlanta","Atlanta","GA","USA",33.748997,-84.387985
"2015-06-14",1.1,465804.78,512385.258,425007.55,19471.232,518.892,386370.5,17701.12,471.72,61261.44,48612.13,12578.28,71.03,"conventional",2015,"Atlanta","Atlanta","GA","USA",33.748997,-84.387985
"2015-06-07",0.99,551009.05,545498.9595,451010.2608,22190.0283,731.2932,455565.92,22414.17,738.68,72290.28,50954.84,21329.99,5.45,"conventional",2015,"Atlanta","Atlanta","GA","USA",33.748997,-84.387985
"2015-05-31",1.1,454702,500172.2,421191.089,21497.498,575.091,382900.99,19543.18,522.81,51735.02,40505.16,11199.95,29.91,"conventional",2015,"Atlanta","Atlanta","GA","USA",33.748997,-84.387985
"2015-05-24",0.96,623212.04,598283.5584,516601.8624,26193.0528,1210.368,538126.94,27284.43,1260.8,56539.87,33867,22651.15,21.72,"conventional",2015,"Atlanta","Atlanta","GA","USA",33.748997,-84.387985
"2015-05-17",1.11,451250.7,500888.277,428904.9879,20666.9124,930.9348,386400.89,18618.84,838.68,45392.29,33710.2,11682.09,0,"conventional",2015,"Atlanta","Atlanta","GA","USA",33.748997,-84.387985
"2015-05-10",1.1,480071.18,528078.298,454798.256,20746.693,1198.263,413452.96,18860.63,1089.33,46668.26,34108.44,12559.82,0,"conventional",2015,"Atlanta","Atlanta","GA","USA",33.748997,-84.387985
"2015-05-03",1,634213.1,634213.1,538403.48,28568.26,1059.73,538403.48,28568.26,1059.73,66181.63,32520.82,33660.81,0,"conventional",2015,"Atlanta","Atlanta","GA","USA",33.748997,-84.387985
"2015-04-26",1.12,448596.76,502428.3712,434198.0272,20570.2896,1166.7936,387676.81,18366.33,1041.78,41511.84,31315.29,10196.55,0,"conventional",2015,"Atlanta","Atlanta","GA","USA",33.748997,-84.387985
"2015-04-19",1.12,430966.34,482682.3008,412954.808,20205.752,978.0288,368709.65,18040.85,873.24,43342.6,29661.72,13680.88,0,"conventional",2015,"Atlanta","Atlanta","GA","USA",33.748997,-84.387985
"2015-04-12",0.99,451101.89,446590.8711,373802.6952,22195.7505,216.9486,377578.48,22419.95,219.14,50884.32,25833.07,25051.25,0,"conventional",2015,"Atlanta","Atlanta","GA","USA",33.748997,-84.387985
"2015-04-05",1.04,383139.49,398465.0696,331212.4088,20024.5656,389.4904,318473.47,19254.39,374.51,45037.12,28612.48,16289.92,134.72,"conventional",2015,"Atlanta","Atlanta","GA","USA",33.748997,-84.387985
"2015-03-29",1.11,365722.14,405951.5754,338582.0679,18483.7089,289.7211,305028.89,16651.99,261.01,43780.25,29313.92,14466.33,0,"conventional",2015,"Atlanta","Atlanta","GA","USA",33.748997,-84.387985
"2015-03-22",1,479590.62,479590.62,393591.03,23419.6,304.89,393591.03,23419.6,304.89,62275.1,40495.12,21766.54,13.44,"conventional",2015,"Atlanta","Atlanta","GA","USA",33.748997,-84.387985
"2015-03-15",1.12,399566.22,447514.1664,376512.7296,18489.1952,347.984,336172.08,16508.21,310.7,46575.23,34911.7,11625.94,37.59,"conventional",2015,"Atlanta","Atlanta","GA","USA",33.748997,-84.387985
"2015-03-08",1.1,420826.32,462908.952,397715.142,17367.581,260.667,361559.22,15788.71,236.97,43241.42,33847.33,9394.09,0,"conventional",2015,"Atlanta","Atlanta","GA","USA",33.748997,-84.387985
"2015-03-01",0.99,512532.44,507407.1156,437128.56,20971.863,344.3022,441544,21183.7,347.78,49456.96,32180.9,17273.38,2.68,"conventional",2015,"Atlanta","Atlanta","GA","USA",33.748997,-84.387985
"2015-02-22",1.1,431308.56,474439.416,406247.919,20157.236,261.217,369316.29,18324.76,237.47,43430.04,33423.74,10006.3,0,"conventional",2015,"Atlanta","Atlanta","GA","USA",33.748997,-84.387985
"2015-02-15",1.06,427391.28,453034.7568,386313.5762,18465.6346,676.4708,364446.77,17420.41,638.18,44885.92,26727.66,18158.26,0,"conventional",2015,"Atlanta","Atlanta","GA","USA",33.748997,-84.387985
"2015-02-08",1.03,433883.91,446900.4273,388574.0714,17677.375,540.5955,377256.38,17162.5,524.85,38940.18,18044.41,20895.77,0,"conventional",2015,"Atlanta","Atlanta","GA","USA",33.748997,-84.387985
"2015-02-01",0.96,636771.37,611300.5152,531070.6176,30320.0448,283.1424,553198.56,31583.38,294.94,51694.49,10553.73,41140.76,0,"conventional",2015,"Atlanta","Atlanta","GA","USA",33.748997,-84.387985
"2015-01-25",1.1,449332.85,494266.135,432748.987,20590.097,653.675,393408.17,18718.27,594.25,36612.16,13176.39,23435.77,0,"conventional",2015,"Atlanta","Atlanta","GA","USA",33.748997,-84.387985
"2015-01-18",1.11,431490.99,478954.9989,413182.9812,20759.109,567.9759,372236.92,18701.9,511.69,40040.48,16782.71,23257.77,0,"conventional",2015,"Atlanta","Atlanta","GA","USA",33.748997,-84.387985
"2015-01-11",1.11,397542.72,441272.4192,366756.4764,21043.6242,1260.0498,330411.24,18958.22,1135.18,47038.08,21309.61,25728.47,0,"conventional",2015,"Atlanta","Atlanta","GA","USA",33.748997,-84.387985
"2015-01-04",1,435021.49,435021.49,364302.39,23821.16,82.15,364302.39,23821.16,82.15,46815.79,16707.15,30108.64,0,"conventional",2015,"Atlanta","Atlanta","GA","USA",33.748997,-84.387985
"2015-12-27",1.17,596819.4,698278.698,47327.0733,461101.7034,20303.9343,40450.49,394104.02,17353.79,144911.1,142543.88,2367.22,0,"conventional",2015,"BaltimoreWashington","Baltimore","MD","USA",39.290386,-76.61219
"2015-12-20",1.11,642682.4,713377.464,49662.9207,482395.8102,21214.4754,44741.37,434590.82,19112.14,144238.07,141751.91,2486.16,0,"conventional",2015,"BaltimoreWashington","Baltimore","MD","USA",39.290386,-76.61219
"2015-12-13",1.15,619509.33,712435.7295,51060.299,459829.3285,27934.88,44400.26,399851.59,24291.2,150966.28,149070.4,1895.88,0,"conventional",2015,"BaltimoreWashington","Baltimore","MD","USA",39.290386,-76.61219
"2015-12-06",1.04,649141.25,675106.9,53174.4616,471729.96,26790.9096,51129.29,453586.5,25760.49,118664.97,117112.77,1552.2,0,"conventional",2015,"BaltimoreWashington","Baltimore","MD","USA",39.290386,-76.61219
"2015-11-29",1.16,545800.05,633128.058,47592.654,439821.0644,23371.1348,41028.15,379156.09,20147.53,105468.28,103615.95,1852.33,0,"conventional",2015,"BaltimoreWashington","Baltimore","MD","USA",39.290386,-76.61219
"2015-11-22",1.12,572019.8,640662.176,45771.936,432474.3136,26144.7088,40867.8,386137.78,23343.49,121670.73,119007.61,2663.12,0,"conventional",2015,"BaltimoreWashington","Baltimore","MD","USA",39.290386,-76.61219
"2015-11-15",1.04,718330.48,747063.6992,48994.14,523608.8832,39509.9016,47109.75,503470.08,37990.29,129760.36,125297.67,4462.69,0,"conventional",2015,"BaltimoreWashington","Baltimore","MD","USA",39.290386,-76.61219
"2015-11-08",1.05,830967.23,872515.5915,61508.2335,605338.3455,53586.792,58579.27,576512.71,51035.04,144840.21,138777.63,6062.58,0,"conventional",2015,"BaltimoreWashington","Baltimore","MD","USA",39.290386,-76.61219
"2015-11-01",1.12,742220.67,831287.1504,58083.2784,530677.4368,65649.6512,51860.07,473819.14,58615.76,157925.7,152716.4,5209.3,0,"conventional",2015,"BaltimoreWashington","Baltimore","MD","USA",39.290386,-76.61219
"2015-10-25",1.19,656892.03,781701.5157,63981.8375,473514.5065,58412.0306,53766.25,397911.35,49085.74,156128.69,149987.55,6141.14,0,"conventional",2015,"BaltimoreWashington","Baltimore","MD","USA",39.290386,-76.61219
"2015-10-18",0.99,1005603.78,995547.7422,58530.3345,737931.4074,48679.6167,59121.55,745385.26,49171.33,151925.64,146421.02,5504.62,0,"conventional",2015,"BaltimoreWashington","Baltimore","MD","USA",39.290386,-76.61219
"2015-10-11",1.24,653560.14,810414.5736,43036.7048,486090.664,72527.724,34707.02,392008.6,58490.1,168354.42,163669.01,4685.41,0,"conventional",2015,"BaltimoreWashington","Baltimore","MD","USA",39.290386,-76.61219
"2015-10-04",1.28,657444.04,841528.3712,45238.1952,521740.736,54089.8944,35342.34,407609.95,42257.73,172234.02,167494.61,4739.41,0,"conventional",2015,"BaltimoreWashington","Baltimore","MD","USA",39.290386,-76.61219
"2015-09-27",1.19,696281.81,828575.3539,40827.7695,536762.6257,70232.1459,34309.05,451061.03,59018.61,151893.12,146792.81,5100.31,0,"conventional",2015,"BaltimoreWashington","Baltimore","MD","USA",39.290386,-76.61219
"2015-09-20",1.17,709268.62,829844.2854,46355.2479,526831.1217,53043.2604,39619.87,450283.01,45336.12,174029.62,168889.78,5139.84,0,"conventional",2015,"BaltimoreWashington","Baltimore","MD","USA",39.290386,-76.61219
"2015-09-13",1.09,924993.61,1008243.0349,60712.1825,736321.5197,46074.8123,55699.25,675524.33,42270.47,151499.56,145686.02,5813.54,0,"conventional",2015,"BaltimoreWashington","Baltimore","MD","USA",39.290386,-76.61219
"2015-09-06",1.18,823623.36,971875.5648,75406.4014,616630.7592,80452.813,63903.73,522568.44,68180.35,168970.84,165696.58,3268.72,5.54,"conventional",2015,"BaltimoreWashington","Baltimore","MD","USA",39.290386,-76.61219
"2015-08-30",1.24,734721.29,911054.3996,60084.51,568177.2504,53015.3816,48455.25,458207.46,42754.34,185304.24,181968.79,3158.9,176.55,"conventional",2015,"BaltimoreWashington","Baltimore","MD","USA",39.290386,-76.61219
"2015-08-23",1.16,783935.36,909365.0176,68720.7432,578956.4524,54770.7688,59242.02,499100.39,47216.18,178376.77,175047.15,3060.44,269.18,"conventional",2015,"BaltimoreWashington","Baltimore","MD","USA",39.290386,-76.61219
"2015-08-16",1.14,882754.72,1006340.3808,98600.9142,680790.5922,49136.9754,86492.03,597184.73,43102.61,155975.35,153156.63,2796.82,21.9,"conventional",2015,"BaltimoreWashington","Baltimore","MD","USA",39.290386,-76.61219
"2015-08-09",1.16,821523.45,952967.202,65380.79,646542.1704,49803.2892,56362.75,557363.94,42933.87,164862.89,161564.81,3298.08,0,"conventional",2015,"BaltimoreWashington","Baltimore","MD","USA",39.290386,-76.61219
"2015-08-02",1.17,800603.23,936705.7791,63130.4271,626145.507,52357.0086,53957.63,535167.1,44749.58,166728.92,163667.68,3061.24,0,"conventional",2015,"BaltimoreWashington","Baltimore","MD","USA",39.290386,-76.61219
"2015-07-26",1.2,772926.12,927511.344,63295.692,595810.38,54012.972,52746.41,496508.65,45010.81,178660.25,174774.8,3880.04,5.41,"conventional",2015,"BaltimoreWashington","Baltimore","MD","USA",39.290386,-76.61219
"2015-07-19",1.18,800194.34,944229.3212,62486.8292,585523.6346,59377.4112,52954.94,496206.47,50319.84,200713.09,196837.6,3862.02,13.47,"conventional",2015,"BaltimoreWashington","Baltimore","MD","USA",39.290386,-76.61219
